,country,gdp_cap,gdp_cap_year,population,population_year,old_population,old_population_year,physicians,physicians_year,hosp_beds,hosp_beds_year,health_exp,health_exp_year,health_workers,health_workers_year,ppl_per_hosp_bed,ppl_per_physician,tot_hosp_beds,continent
28,Switzerland,82796.54716312849,2018,8516543.0,2018,18.6232165647717,2018,4.2363,2016,4.7,2013,9835.96368572,2016,,,212.7659574468085,236.05504803720228,40027752.1,Europe
29,Chile,15923.358737538101,2018,18729160.0,2018,11.529801656881599,2018,1.08,2016,2.2,2013,1190.54854502,2016,,,454.5454545454545,925.9259259259259,41204152.0,South America
30,China,9770.84708783314,2018,1392730000.0,2018,10.9208835350654,2018,1.7855,2015,4.2,2012,398.33155573,2016,0.831,2011,238.09523809523807,560.0672080649678,5849466000.0,Asia
31,Cameroon,1533.74213975885,2018,25216237.0,2018,2.7288773552405696,2018,0.0898,2011,1.3,2010,64.46729416,2016,,,769.2307692307692,11135.857461024498,32781108.1,Africa
32,Colombia,6667.7906995498,2018,49648685.0,2018,8.47804701986958,2018,2.0835,2017,1.5,2014,340.36546879,2016,,,666.6666666666666,479.96160307175427,74473027.5,South America
33,Comoros,1415.2636223156198,2018,832322.0,2018,3.00700930649436,2018,0.1699,2012,2.2,2010,59.00043787,2016,,,454.5454545454545,5885.8151854031785,1831108.4000000001,Africa
34,Costa Rica,12027.365882631599,2018,4999441.0,2018,9.54984767296984,2018,1.1497,2013,1.2,2015,888.85370049,2016,,,833.3333333333334,869.7921196833958,5999329.2,North America
35,Cuba,8821.81889125004,2018,11338138.0,2018,15.1862114171521,2018,8.19,2017,5.2,2014,970.64616387,2016,,,192.3076923076923,122.1001221001221,58958317.6,North America
36,Cyprus,28159.3016999455,2018,1189265.0,2018,13.719061773448301,2018,1.9511,2016,3.4,2013,1634.43092199,2016,,,294.11764705882354,512.5313925477935,4043501.0,Europe
37,Czech Republic,23078.5734865691,2018,10625695.0,2018,19.4208768932343,2018,4.314,2016,6.5,2015,1321.62020252,2016,,,153.84615384615384,231.8034306907742,69067017.5,Europe
38,Germany,47603.0276328757,2018,82927922.0,2018,21.4619619953309,2018,4.2087,2016,8.3,2013,4714.260873300001,2016,,,120.48192771084337,237.603060327417,688301752.6,Europe
39,Djibouti,3082.5430987195696,2018,958920.0,2018,4.52757937811482,2018,0.2203,2014,1.4,2014,70.19033417,2016,,,714.2857142857143,4539.264639128462,1342488.0,Africa
40,Denmark,61350.3479093986,2018,5797446.0,2018,19.8129526369902,2018,4.4567,2016,2.5,2015,5565.59342469,2016,,,400.0,224.38126865169298,14493615.0,Europe
41,Dominican Republic,8050.63160184635,2018,10627165.0,2018,7.08281747649721,2018,1.56,2017,1.6,2014,414.17657995,2016,,,625.0,641.025641025641,17003464.0,North America
42,Algeria,4114.71506136896,2018,42228429.0,2018,6.3624965449798605,2018,1.83,2016,1.9,2015,260.41257932,2016,,,526.3157894736843,546.4480874316939,80234015.1,Africa
43,Ecuador,6344.87197850057,2018,17084357.0,2018,7.15728972666108,2018,2.05,2016,1.5,2013,504.78248204,2016,,,666.6666666666666,487.80487804878055,25626535.5,South America
44,"Egypt, Arab Rep.",2549.13225178609,2018,98423595.0,2018,5.229779346209231,2018,0.7902,2017,1.6,2014,130.9858695,2016,,,625.0,1265.5024044545685,157477752.0,Africa
